name,ticker
GECINA,GFC
GEN BELGE ARGENTIN,
GENERAL ELECTRIC,GNE
GENERIX GROUP,GENX
GENEURO,GNRO
GENFIT,GNFT
GENOMIC VISION,GV
GENOWAY,ALGEN
GENSIGHT BIOLOGICS,SIGHT
GENTIAN DIAGNOSTIC,GENT
GENTLEMENS EQUITY,MLGEQ
GEOJUNXION,GOJXN
GETLINK SE,GET
GEVELOT,ALGEV
GIGANTE SALMON,GIGA
GIMV,GIMB
GJENSIDIGE FORSIKR,GJF
GL EVENTS,GLO
GLANBIA PLC,GL9
GLASS TO POWER A,MLGLA
GLASS TO POWER B,MLGLB
GLASS TO POWER WAR,MLGLW
GLENVEAGH PROP.PLC,GVR
GLINTT,GLINT
GLOBAL BIOENERGIES,ALGBE
GLOBAL PIELAGO,MLNDG
GNP ENERGY,GNP
GOLD BY GOLD,ALGLD
GOLDEN ENERGY OFF,GEOS
GOLDEN OCEAN GROUP,GOGL
GOODTECH,GOD
GOSSON KESSALES,
GOUR MEDICAL,MLGML
GP BHND SHA,BHND
GP BHND TR SHA,BHNDT
GP BHND WARR,BHNDW
GPE GROUP PIZZORNO,GPE
GPE PAROT (AUTO),ALPAR
GRAINES VOLTZ,GRVO
GRAM CAR CARRIERS,GCC
GREAT WESTERN MIN.,8GW
GREEN MINERALS,GEM
GREENCOAT REN.,GRP
GREENVOLT,GVOLT
GREENYARD,GREEN
GRIEG SEAFOOD,GSF
GROLLEAU,ALGRO
GRONG SPAREBANK,GRONG
GROTTES DE HAN/s/L,
GROUPE BERKEM,ALKEM
GROUPE CARNIVOR,MLGRC
GROUPE CASOL,MLCAS
GROUPE CRIT,CEN
GROUPE FLO,FLO
GROUPE GORGE,GOE
GROUPE GUILLIN,ALGIL
GROUPE IRD,IRD
GROUPE JAJ,GJAJ
GROUPE JOSI,
GROUPE LDLC,ALLDL
GROUPE OKWIND,ALOKW
GROUPE PARTOUCHE,PARP
GROUPE PLUS-VALUES,MLPVG
GROUPE SFPI,SFPI
GROUPE TERA,ALGTR
GROUPIMO,ALIMO
GROWNERS,
GT BIOPHARMA INC,GTBP
GTT,GTT
GUANDAO PUER INVES,MLGDI
GUERBET,GBT
GUILLEMOT,GUI
GYLDENDAL,GYL
H2O INNOVATION INC,ALHEO
HAFFNER ENERGY,ALHAF
HAFNIA LIMITED,HAFNI
HAL TRUST,HAL
HAMILTON GLOBAL OP,ALHGO
HAMMERSON PLC,HMSO
HAMON,HAMO
HARMONYCHAIN,HMONY
HAULOTTE GROUP,PIG
HAV GROUP,HAV
HAVILA KYSTRUTEN,HKY
HAVILA SHIPPING,HAVI
HAVYARD GROUP,HYARD
HDF,HDF
HEALTH,MLAHC
HEALTHBEACON SHA,HBCN
HEALTHCARE ACTIVOS,MLHAY
HEDOSOPHIA ORD SHA,HEGA
HEDOSOPHIA UNITS,HEGAU
HEDOSOPHIA WARRANT,HEGAW
HEIJMANS,HEIJM
HEINEKEN,HEIA
HEINEKEN HOLDING,HEIO
HERIGE,ALHRG
HERMES INTL,RMS
HEXAGON COMPOSITES,HEX
HEXAGON PURUS,HPUR
HEXAOM,HEXA
HF COMPANY,ALHF
HIGH CO,HCO
HIMALAYA SHIPPING,HSHIP
HIOLLE INDUSTRIES,ALHIO
HIPAY GROUP,ALHYP
HITECHPROS,ALHIT
HK,MLHK
HOCHE BAINS L.BAIN,MLHBB
HÖEGH AUTOLINERS,HAUTO
HOFFMANN,ALHGR
HOFSETH BIOCARE,HBC
Holcim Ltd,HOLN
HOLLAND COLOURS,HOLCO
HOME CONCEPT,MLHCF
HOME INVEST BE.,HOMI
HOPENING,MLHPE
HOPIUM,ALHPI
HOPSCOTCH GROUPE,HOP
HORISONT ENERGI,HRGI
HOSTELWORLD GROUP,HSW
HOT.MAJESTIC CANNE,MLHMC
HOTELIM,MLHOT
HOTELS DE PARIS,HDP
HOTL.IMMOB.NICE,MLHIN
HOUSE OF CONTROL,HOC
HUDDLESTOCK FINTEC,HUDL
HUDDLY,HDLY
HUNTER DOUGLAS,HDG
HUNTER DOUGLAS,HUNDP
HUNTER GROUP,HUNT
HUNYVERS,ALHUN
HYBRID SOFTWARE GR,HYSG
HYBRIGENICS,ALHYG
HYDRATEC,HYDRA
HYDRAULIQUE PB,MLHYD
HYDRO-EXPLOIT.,MLHYE
HYDROGEN REFUELING,ALHRS
HYDROGENPRO,HYPRO
HYLORIS,HYL
HYNION,HYN
HYON,HYON
HØLAND OG SETSKOG,HSPG
I.CERAM,ALICR
I2S,ALI2S
IANTE INVESTMENTS,MLINT
IBA,IBAB
"IBERSOL,SGPS",IBS
IBM,IBMA
ICADE,ICAD
ICAPE HOLDING,ALICA
ICE FISH FARM,IFISH
ICELANDIC SALMON,ISLAX
ID LOGISTICS GROUP,IDL
IDEX BIOMETRICS,IDEX
